Date,Meal,Block,Portion_Type,Served_Count,Avg_Weight_kg,Prepared_kg,Consumed_kg,Wasted_kg
2023-01-06,Lunch,C,Quarter,116,0.1,11.6,10.21,1.39
2023-01-06,Lunch,D,Full,66,0.25,16.5,14.28,2.22
2023-01-06,Lunch,D,Half,134,0.2,26.8,24.19,2.61
2023-01-06,Lunch,D,Quarter,49,0.1,4.9,4.27,0.63
2023-01-06,Dinner,A,Full,73,0.25,18.25,17.51,0.74
2023-01-06,Dinner,A,Half,110,0.2,22.0,18.59,3.41
2023-01-06,Dinner,A,Quarter,115,0.1,11.5,9.06,2.44
2023-01-06,Dinner,B,Full,46,0.25,11.5,10.61,0.89
2023-01-06,Dinner,B,Half,84,0.2,16.8,16.05,0.75
2023-01-06,Dinner,B,Quarter,149,0.1,14.9,13.4,1.5
2023-01-06,Dinner,C,Full,108,0.25,27.0,22.96,4.04
2023-01-06,Dinner,C,Half,67,0.2,13.4,12.88,0.52
2023-01-06,Dinner,C,Quarter,148,0.1,14.8,13.85,0.95
2023-01-06,Dinner,D,Full,68,0.25,17.0,15.31,1.69
2023-01-06,Dinner,D,Half,107,0.2,21.4,16.63,4.77
2023-01-06,Dinner,D,Quarter,89,0.1,8.9,7.88,1.02
2023-01-07,Lunch,A,Full,61,0.25,15.25,11.46,3.79
2023-01-07,Lunch,A,Half,134,0.2,26.8,22.49,4.31
2023-01-07,Lunch,A,Quarter,144,0.1,14.4,12.88,1.52
2023-01-07,Lunch,B,Full,52,0.25,13.0,10.49,2.51
2023-01-07,Lunch,B,Half,65,0.2,13.0,11.93,1.07
2023-01-07,Lunch,B,Quarter,102,0.1,10.2,9.86,0.34
2023-01-07,Lunch,C,Full,111,0.25,27.75,24.52,3.23
2023-01-07,Lunch,C,Half,60,0.2,12.0,10.93,1.07
2023-01-07,Lunch,C,Quarter,59,0.1,5.9,5.01,0.89
2023-01-07,Lunch,D,Full,44,0.25,11.0,10.91,0.09
2023-01-07,Lunch,D,Half,75,0.2,15.0,14.48,0.52
2023-01-07,Lunch,D,Quarter,101,0.1,10.1,8.27,1.83
2023-01-07,Dinner,A,Full,100,0.25,25.0,23.93,1.07
2023-01-07,Dinner,A,Half,144,0.2,28.8,28.39,0.41
2023-01-07,Dinner,A,Quarter,45,0.1,4.5,3.86,0.64
2023-01-07,Dinner,B,Full,95,0.25,23.75,21.8,1.95
2023-01-07,Dinner,B,Half,106,0.2,21.2,17.19,4.01
2023-01-07,Dinner,B,Quarter,98,0.1,9.8,9.01,0.79
2023-01-07,Dinner,C,Full,99,0.25,24.75,19.15,5.6
2023-01-07,Dinner,C,Half,49,0.2,9.8,9.21,0.59
2023-01-07,Dinner,C,Quarter,121,0.1,12.1,11.98,0.12
2023-01-07,Dinner,D,Full,55,0.25,13.75,10.78,2.97
2023-01-07,Dinner,D,Half,91,0.2,18.2,14.2,4.0
2023-01-07,Dinner,D,Quarter,48,0.1,4.8,4.7,0.1
2023-01-08,Lunch,A,Full,121,0.25,30.25,25.09,5.16
2023-01-08,Lunch,A,Half,57,0.2,11.4,8.77,2.63
2023-01-08,Lunch,A,Quarter,140,0.1,14.0,11.78,2.22
2023-01-08,Lunch,B,Full,82,0.25,20.5,19.44,1.06
2023-01-08,Lunch,B,Half,65,0.2,13.0,11.92,1.08
2023-01-08,Lunch,B,Quarter,66,0.1,6.6,5.75,0.85
2023-01-08,Lunch,C,Full,135,0.25,33.75,28.92,4.83
2023-01-08,Lunch,C,Half,129,0.2,25.8,19.67,6.13
2023-01-08,Lunch,C,Quarter,100,0.1,10.0,9.23,0.77
2023-01-08,Lunch,D,Full,80,0.25,20.0,19.31,0.69
2023-01-08,Lunch,D,Half,86,0.2,17.2,15.98,1.22
2023-01-08,Lunch,D,Quarter,59,0.1,5.9,5.84,0.06
2023-01-08,Dinner,A,Full,86,0.25,21.5,20.82,0.68
2023-01-08,Dinner,A,Half,73,0.2,14.6,12.55,2.05
2023-01-08,Dinner,A,Quarter,79,0.1,7.9,7.27,0.63
2023-01-08,Dinner,B,Full,95,0.25,23.75,18.94,4.81
2023-01-08,Dinner,B,Half,40,0.2,8.0,7.52,0.48
2023-01-08,Dinner,B,Quarter,48,0.1,4.8,3.75,1.05
2023-01-08,Dinner,C,Full,64,0.25,16.0,12.94,3.06
2023-01-08,Dinner,C,Half,83,0.2,16.6,15.87,0.73
2023-01-08,Dinner,C,Quarter,80,0.1,8.0,6.83,1.17
2023-01-08,Dinner,D,Full,70,0.25,17.5,16.84,0.66
2023-01-08,Dinner,D,Half,79,0.2,15.8,13.99,1.81
2023-01-08,Dinner,D,Quarter,49,0.1,4.9,4.77,0.13
2023-01-09,Lunch,A,Full,79,0.25,19.75,18.79,0.96
2023-01-09,Lunch,A,Half,44,0.2,8.8,7.64,1.16
2023-01-09,Lunch,A,Quarter,104,0.1,10.4,10.31,0.09
2023-01-09,Lunch,B,Full,110,0.25,27.5,21.21,6.29
2023-01-09,Lunch,B,Half,144,0.2,28.8,24.06,4.74
2023-01-09,Lunch,B,Quarter,124,0.1,12.4,9.64,2.76
2023-01-09,Lunch,C,Full,58,0.25,14.5,14.09,0.41
2023-01-09,Lunch,C,Half,122,0.2,24.4,22.2,2.2
2023-01-09,Lunch,C,Quarter,115,0.1,11.5,9.13,2.37
2023-01-09,Lunch,D,Full,72,0.25,18.0,16.67,1.33
2023-01-09,Lunch,D,Half,49,0.2,9.8,7.84,1.96
2023-01-09,Lunch,D,Quarter,122,0.1,12.2,12.07,0.13
2023-01-09,Dinner,A,Full,150,0.25,37.5,35.75,1.75
2023-01-09,Dinner,A,Half,142,0.2,28.4,27.28,1.12
2023-01-09,Dinner,A,Quarter,110,0.1,11.0,8.7,2.3
2023-01-09,Dinner,B,Full,51,0.25,12.75,11.32,1.43
2023-01-09,Dinner,B,Half,55,0.2,11.0,8.77,2.23
2023-01-09,Dinner,B,Quarter,135,0.1,13.5,11.88,1.62
2023-01-09,Dinner,C,Full,76,0.25,19.0,14.57,4.43
2023-01-09,Dinner,C,Half,96,0.2,19.2,17.11,2.09
2023-01-09,Dinner,C,Quarter,44,0.1,4.4,3.64,0.76
2023-01-09,Dinner,D,Full,126,0.25,31.5,26.87,4.63
2023-01-09,Dinner,D,Half,94,0.2,18.8,15.29,3.51
2023-01-09,Dinner,D,Quarter,130,0.1,13.0,10.06,2.94
2023-01-10,Lunch,A,Full,99,0.25,24.75,22.36,2.39
2023-01-10,Lunch,A,Half,110,0.2,22.0,19.37,2.63
2023-01-10,Lunch,A,Quarter,126,0.1,12.6,9.9,2.7
2023-01-10,Lunch,B,Full,46,0.25,11.5,10.19,1.31
2023-01-10,Lunch,B,Half,135,0.2,27.0,20.96,6.04
2023-01-10,Lunch,B,Quarter,78,0.1,7.8,6.72,1.08
2023-01-10,Lunch,C,Full,123,0.25,30.75,24.06,6.69
2023-01-10,Lunch,C,Half,148,0.2,29.6,29.17,0.43
2023-01-10,Lunch,C,Quarter,57,0.1,5.7,5.22,0.48
2023-01-10,Lunch,D,Full,141,0.25,35.25,33.88,1.37
2023-01-10,Lunch,D,Half,87,0.2,17.4,15.06,2.34
2023-01-10,Lunch,D,Quarter,144,0.1,14.4,10.88,3.52
2023-01-10,Dinner,A,Full,142,0.25,35.5,34.65,0.85
2023-01-10,Dinner,A,Half,64,0.2,12.8,10.37,2.43
2023-01-10,Dinner,A,Quarter,107,0.1,10.7,10.05,0.65
2023-01-10,Dinner,B,Full,78,0.25,19.5,18.96,0.54
2023-01-10,Dinner,B,Half,112,0.2,22.4,21.46,0.94
2023-01-10,Dinner,B,Quarter,114,0.1,11.4,10.8,0.6
2023-01-10,Dinner,C,Full,64,0.25,16.0,13.6,2.4
2023-01-10,Dinner,C,Half,45,0.2,9.0,8.08,0.92
2023-01-10,Dinner,C,Quarter,125,0.1,12.5,9.97,2.53
2023-01-10,Dinner,D,Full,124,0.25,31.0,29.95,1.05
2023-01-10,Dinner,D,Half,77,0.2,15.4,12.39,3.01
2023-01-10,Dinner,D,Quarter,121,0.1,12.1,11.21,0.89
2023-01-11,Lunch,A,Full,121,0.25,30.25,23.29,6.96
2023-01-11,Lunch,A,Half,94,0.2,18.8,17.95,0.85
2023-01-11,Lunch,A,Quarter,96,0.1,9.6,8.04,1.56
2023-01-11,Lunch,B,Full,73,0.25,18.25,17.04,1.21
2023-01-11,Lunch,B,Half,74,0.2,14.8,14.6,0.2
2023-01-11,Lunch,B,Quarter,68,0.1,6.8,5.77,1.03
2023-01-11,Lunch,C,Full,99,0.25,24.75,22.52,2.23
2023-01-11,Lunch,C,Half,79,0.2,15.8,14.64,1.16
2023-01-11,Lunch,C,Quarter,78,0.1,7.8,7.8,0.0
2023-01-11,Lunch,D,Full,76,0.25,19.0,17.16,1.84
2023-01-11,Lunch,D,Half,87,0.2,17.4,16.68,0.72
2023-01-11,Lunch,D,Quarter,119,0.1,11.9,11.07,0.83
2023-01-11,Dinner,A,Full,108,0.25,27.0,22.78,4.22
2023-01-11,Dinner,A,Half,74,0.2,14.8,13.75,1.05
2023-01-11,Dinner,A,Quarter,96,0.1,9.6,7.59,2.01
2023-01-11,Dinner,B,Full,78,0.25,19.5,19.07,0.43
2023-01-11,Dinner,B,Half,68,0.2,13.6,12.29,1.31
2023-01-11,Dinner,B,Quarter,62,0.1,6.2,5.62,0.58
2023-01-11,Dinner,C,Full,145,0.25,36.25,35.54,0.71
2023-01-11,Dinner,C,Half,56,0.2,11.2,11.16,0.04
2023-01-11,Dinner,C,Quarter,109,0.1,10.9,10.08,0.82
2023-01-11,Dinner,D,Full,107,0.25,26.75,22.71,4.04
2023-01-11,Dinner,D,Half,62,0.2,12.4,9.73,2.67
2023-01-11,Dinner,D,Quarter,43,0.1,4.3,3.87,0.43
2023-01-12,Lunch,A,Full,86,0.25,21.5,19.69,1.81
2023-01-12,Lunch,A,Half,42,0.2,8.4,8.29,0.11
2023-01-12,Lunch,A,Quarter,60,0.1,6.0,5.2,0.8
2023-01-12,Lunch,B,Full,65,0.25,16.25,14.94,1.31
2023-01-12,Lunch,B,Half,90,0.2,18.0,17.13,0.87
2023-01-12,Lunch,B,Quarter,143,0.1,14.3,13.4,0.9
2023-01-12,Lunch,C,Full,72,0.25,18.0,15.97,2.03
2023-01-12,Lunch,C,Half,100,0.2,20.0,17.59,2.41
2023-01-12,Lunch,C,Quarter,102,0.1,10.2,9.37,0.83
2023-01-12,Lunch,D,Full,78,0.25,19.5,17.65,1.85
2023-01-12,Lunch,D,Half,115,0.2,23.0,20.62,2.38
2023-01-12,Lunch,D,Quarter,113,0.1,11.3,11.28,0.02
2023-01-12,Dinner,A,Full,131,0.25,32.75,30.09,2.66
2023-01-12,Dinner,A,Half,40,0.2,8.0,6.36,1.64
2023-01-12,Dinner,A,Quarter,45,0.1,4.5,3.97,0.53
2023-01-12,Dinner,B,Full,119,0.25,29.75,27.75,2.0
2023-01-12,Dinner,B,Half,42,0.2,8.4,7.09,1.31
2023-01-12,Dinner,B,Quarter,103,0.1,10.3,9.67,0.63
2023-01-12,Dinner,C,Full,109,0.25,27.25,20.94,6.31
2023-01-12,Dinner,C,Half,119,0.2,23.8,23.77,0.03
2023-01-12,Dinner,C,Quarter,45,0.1,4.5,3.65,0.85
2023-01-12,Dinner,D,Full,129,0.25,32.25,27.63,4.62
2023-01-12,Dinner,D,Half,77,0.2,15.4,13.09,2.31
2023-01-12,Dinner,D,Quarter,96,0.1,9.6,7.52,2.08
2023-01-13,Lunch,A,Full,67,0.25,16.75,15.08,1.67
2023-01-13,Lunch,A,Half,40,0.2,8.0,6.87,1.13
2023-01-13,Lunch,A,Quarter,58,0.1,5.8,4.48,1.32
2023-01-13,Lunch,B,Full,103,0.25,25.75,24.81,0.94
2023-01-13,Lunch,B,Half,64,0.2,12.8,10.67,2.13
2023-01-13,Lunch,B,Quarter,114,0.1,11.4,9.67,1.73
2023-01-13,Lunch,C,Full,81,0.25,20.25,18.03,2.22
2023-01-13,Lunch,C,Half,85,0.2,17.0,12.81,4.19
2023-01-13,Lunch,C,Quarter,92,0.1,9.2,9.09,0.11
2023-01-13,Lunch,D,Full,97,0.25,24.25,23.41,0.84
2023-01-13,Lunch,D,Half,79,0.2,15.8,14.33,1.47
2023-01-13,Lunch,D,Quarter,105,0.1,10.5,10.49,0.01
2023-01-13,Dinner,A,Full,124,0.25,31.0,23.26,7.74
2023-01-13,Dinner,A,Half,60,0.2,12.0,11.71,0.29
2023-01-13,Dinner,A,Quarter,43,0.1,4.3,4.2,0.1
2023-01-13,Dinner,B,Full,111,0.25,27.75,26.06,1.69
2023-01-13,Dinner,B,Half,43,0.2,8.6,7.59,1.01
2023-01-13,Dinner,B,Quarter,137,0.1,13.7,11.85,1.85
2023-01-13,Dinner,C,Full,127,0.25,31.75,29.04,2.71
2023-01-13,Dinner,C,Half,113,0.2,22.6,21.07,1.53
2023-01-13,Dinner,C,Quarter,68,0.1,6.8,6.72,0.08
2023-01-13,Dinner,D,Full,138,0.25,34.5,32.9,1.6
2023-01-13,Dinner,D,Half,105,0.2,21.0,16.78,4.22
2023-01-13,Dinner,D,Quarter,68,0.1,6.8,6.34,0.46
2023-01-14,Lunch,A,Full,54,0.25,13.5,12.32,1.18
2023-01-14,Lunch,A,Half,95,0.2,19.0,16.71,2.29
2023-01-14,Lunch,A,Quarter,136,0.1,13.6,12.48,1.12
2023-01-14,Lunch,B,Full,56,0.25,14.0,11.28,2.72
2023-01-14,Lunch,B,Half,78,0.2,15.6,14.99,0.61
2023-01-14,Lunch,B,Quarter,83,0.1,8.3,8.29,0.01
2023-01-14,Lunch,C,Full,67,0.25,16.75,15.79,0.96
2023-01-14,Lunch,C,Half,57,0.2,11.4,8.69,2.71
2023-01-14,Lunch,C,Quarter,73,0.1,7.3,6.9,0.4
2023-01-14,Lunch,D,Full,84,0.25,21.0,16.29,4.71
2023-01-14,Lunch,D,Half,54,0.2,10.8,8.81,1.99
2023-01-14,Lunch,D,Quarter,49,0.1,4.9,4.28,0.62
2023-01-14,Dinner,A,Full,103,0.25,25.75,20.52,5.23
2023-01-14,Dinner,A,Half,100,0.2,20.0,18.11,1.89
2023-01-14,Dinner,A,Quarter,105,0.1,10.5,8.7,1.8
2023-01-14,Dinner,B,Full,48,0.25,12.0,9.05,2.95
2023-01-14,Dinner,B,Half,115,0.2,23.0,22.39,0.61
2023-01-14,Dinner,B,Quarter,79,0.1,7.9,6.62,1.28
2023-01-14,Dinner,C,Full,85,0.25,21.25,16.28,4.97
2023-01-14,Dinner,C,Half,76,0.2,15.2,13.21,1.99
2023-01-14,Dinner,C,Quarter,94,0.1,9.4,8.67,0.73
2023-01-14,Dinner,D,Full,114,0.25,28.5,27.22,1.28
2023-01-14,Dinner,D,Half,148,0.2,29.6,26.04,3.56
2023-01-14,Dinner,D,Quarter,140,0.1,14.0,13.36,0.64
2023-01-15,Lunch,A,Full,142,0.25,35.5,30.42,5.08
2023-01-15,Lunch,A,Half,135,0.2,27.0,20.42,6.58
2023-01-15,Lunch,A,Quarter,85,0.1,8.5,8.32,0.18
2023-01-15,Lunch,B,Full,68,0.25,17.0,15.74,1.26
2023-01-15,Lunch,B,Half,91,0.2,18.2,15.4,2.8
2023-01-15,Lunch,B,Quarter,55,0.1,5.5,4.39,1.11
2023-01-15,Lunch,C,Full,62,0.25,15.5,14.62,0.88
2023-01-15,Lunch,C,Half,104,0.2,20.8,19.04,1.76
2023-01-15,Lunch,C,Quarter,82,0.1,8.2,6.15,2.05
2023-01-15,Lunch,D,Full,75,0.25,18.75,17.41,1.34
2023-01-15,Lunch,D,Half,83,0.2,16.6,13.12,3.48
2023-01-15,Lunch,D,Quarter,128,0.1,12.8,11.07,1.73
2023-01-15,Dinner,A,Full,86,0.25,21.5,18.48,3.02
2023-01-15,Dinner,A,Half,62,0.2,12.4,11.92,0.48
2023-01-15,Dinner,A,Quarter,103,0.1,10.3,9.0,1.3
2023-01-15,Dinner,B,Full,83,0.25,20.75,20.13,0.62
2023-01-15,Dinner,B,Half,91,0.2,18.2,15.93,2.27
2023-01-15,Dinner,B,Quarter,143,0.1,14.3,13.17,1.13
2023-01-15,Dinner,C,Full,49,0.25,12.25,9.69,2.56
2023-01-15,Dinner,C,Half,136,0.2,27.2,26.43,0.77
2023-01-15,Dinner,C,Quarter,94,0.1,9.4,7.63,1.77
2023-01-15,Dinner,D,Full,73,0.25,18.25,15.23,3.02
2023-01-15,Dinner,D,Half,134,0.2,26.8,20.42,6.38
2023-01-15,Dinner,D,Quarter,113,0.1,11.3,9.44,1.86
2023-01-16,Lunch,A,Full,137,0.25,34.25,30.05,4.2
2023-01-16,Lunch,A,Half,72,0.2,14.4,13.3,1.1
2023-01-16,Lunch,A,Quarter,142,0.1,14.2,11.71,2.49
2023-01-16,Lunch,B,Full,90,0.25,22.5,21.8,0.7
2023-01-16,Lunch,B,Half,75,0.2,15.0,12.41,2.59
2023-01-16,Lunch,B,Quarter,131,0.1,13.1,12.86,0.24
2023-01-16,Lunch,C,Full,64,0.25,16.0,14.73,1.27
2023-01-16,Lunch,C,Half,41,0.2,8.2,8.11,0.09
2023-01-16,Lunch,C,Quarter,49,0.1,4.9,3.87,1.03
2023-01-16,Lunch,D,Full,121,0.25,30.25,22.84,7.41
2023-01-16,Lunch,D,Half,111,0.2,22.2,20.79,1.41
2023-01-16,Lunch,D,Quarter,73,0.1,7.3,5.72,1.58
2023-01-16,Dinner,A,Full,61,0.25,15.25,13.91,1.34
2023-01-16,Dinner,A,Half,104,0.2,20.8,15.91,4.89
2023-01-16,Dinner,A,Quarter,81,0.1,8.1,6.45,1.65
2023-01-16,Dinner,B,Full,127,0.25,31.75,24.11,7.64
2023-01-16,Dinner,B,Half,55,0.2,11.0,10.52,0.48
2023-01-16,Dinner,B,Quarter,102,0.1,10.2,9.04,1.16
2023-01-16,Dinner,C,Full,67,0.25,16.75,14.51,2.24
2023-01-16,Dinner,C,Half,102,0.2,20.4,19.76,0.64
2023-01-16,Dinner,C,Quarter,81,0.1,8.1,7.76,0.34
2023-01-16,Dinner,D,Full,109,0.25,27.25,25.21,2.04
2023-01-16,Dinner,D,Half,77,0.2,15.4,15.16,0.24
2023-01-16,Dinner,D,Quarter,135,0.1,13.5,11.31,2.19
2023-01-17,Lunch,A,Full,73,0.25,18.25,14.76,3.49
2023-01-17,Lunch,A,Half,94,0.2,18.8,15.34,3.46
2023-01-17,Lunch,A,Quarter,103,0.1,10.3,8.39,1.91
2023-01-17,Lunch,B,Full,76,0.25,19.0,18.02,0.98
2023-01-17,Lunch,B,Half,146,0.2,29.2,24.56,4.64
